c MST generated by Kruskal's Algorithm using Quick Sort
e 57528 73736 27
e 48674 55833 27
e 34873 89142 27
e 44746 96507 27
e 13785 51331 27
e 39101 41066 27
e 60823 65594 27
e 7958 62378 27
e 44309 48293 27
e 34855 39467 27
e 63538 67591 27
e 74372 95929 27
e 14310 23224 27
e 23495 96904 27
e 34752 35053 27
e 71580 91476 27
e 4039 46366 27
e 4730 74747 27
e 18054 48682 27
e 673 49536 27
e 14508 37238 27
e 9108 22078 27
e 27525 63226 27
e 27537 73418 27
e 24271 47804 27
e 9110 36144 27
e 69000 97774 27
e 28526 39402 27
e 11157 18703 27
e 37904 56059 27
e 9444 24641 27
e 63610 97997 27
e 50185 58783 27
e 32604 94701 27
e 17591 94585 27
e 4135 25715 27
e 62398 63613 27
e 8894 88109 27
e 6070 83629 27
e 6069 12834 27
e 75199 84957 27
e 33951 96204 27
e 72452 74557 27
e 41638 95044 27
e 28603 32016 27
e 41427 42273 27
e 68423 95069 27
e 10287 37294 27
e 51918 53632 27
e 4556 66101 27
e 62952 83361 27
e 38858 77078 27
e 15962 68259 27
e 53736 94207 27
e 75159 78082 27
e 63089 63256 27
e 68237 77741 27
e 55580 84258 27
e 7222 72933 27
e 55551 81906 27
e 35882 84851 27
e 46282 64701 27
e 86811 88012 27
e 58789 79712 27
e 39061 66699 27
e 19348 99800 27
e 12368 96149 27
e 13092 56932 27
e 78369 98430 27
e 7069 73578 27
e 30741 73152 27
e 25046 79636 28
e 39616 51507 28
e 1093 43927 28
e 72604 78667 28
e 72062 75476 28
e 25970 93233 28
e 70941 85722 28
e 3582 25967 28
e 27252 32903 28
e 27777 27878 28
e 4433 26110 28
e 25131 59921 28
e 67729 99340 28
e 27999 61316 28
e 67471 81747 28
e 24755 93219 28
e 75374 94608 28
e 65970 76207 28
e 24709 66385 28
e 65277 81719 28
e 64646 90881 28
e 64277 71430 28
e 5552 89426 28
e 64055 77573 28
e 5811 77042 28
e 92791 98426 28
e 92681 96104 28
e 23940 28626 28
e 6135 98088 28
e 6215 42680 28
e 23648 81534 28
e 23418 98107 28
e 60843 94780 28
e 6643 77323 28
e 6802 66061 28
e 30599 89233 28
e 59165 83229 28
e 30818 51793 28
e 30858 69932 28
e 7620 98885 28
e 31183 52787 28
e 77472 85213 28
e 8327 46640 28
e 55997 80683 28
e 55845 85315 28
e 55568 93795 28
e 55222 95086 28
e 9155 51001 28
e 89093 90105 28
e 9470 40823 28
e 78498 81098 28
e 1900 18333 28
e 20927 99717 28
e 10292 14866 28
e 74075 90804 28
e 33814 89596 28
e 629 1267 28
e 20303 94944 28
e 50067 61363 28
e 49663 79829 28
e 49005 96945 28
e 35004 86317 28
e 11995 42660 28
e 48091 66164 28
e 19436 44804 28
e 19332 47362 28
e 12636 85547 28
e 35978 83091 28
e 13005 91846 28
e 86451 99896 28
e 46058 58848 28
e 13130 15353 28
e 45867 72101 28
e 44967 50477 28
e 3062 96668 28
e 44122 72340 28
e 14333 90702 28
e 85382 95285 28
e 37863 79169 28
e 15205 98000 28
e 15270 70545 28
e 15311 19165 28
e 1261 57765 28
e 17461 47884 28
e 41618 69365 28
e 15564 57708 28
e 72996 89342 28
e 26220 74589 28
e 38855 39929 28
e 1028 35243 28
e 40892 65784 28
e 16515 29372 28
e 88748 92301 29
e 43136 76241 29
e 47712 78058 29
e 26939 57785 29
e 28760 95722 29
e 37718 84852 29
e 1334 75932 29
e 19917 27474 29
e 42749 92396 29
e 53292 72013 29
e 41747 56847 29
e 69162 76533 29
e 16826 25536 29
e 18304 80787 29
e 36877 75435 29
e 56121 81833 29
e 58325 88482 29
e 15449 81691 29
e 53690 64516 29
e 69668 74003 29
e 5952 97421 29
e 10772 87876 29
e 23737 98154 29
e 70200 91338 29
e 70853 71725 29
e 41804 47807 29
e 53780 58306 29
e 17085 33746 29
e 40051 88913 29
e 3706 72947 29
e 41874 63655 29
e 5905 67277 29
e 8541 17275 29
e 2015 88463 29
e 32525 89604 29
e 38371 55528 29
e 15343 65529 29
e 19993 33963 29
e 24037 31302 29
e 18436 39892 29
e 56464 77579 29
e 27590 80568 29
e 31764 32724 29
e 3173 16100 29
e 38711 85402 29
e 23550 83584 29
e 51570 54128 29
e 16037 26727 29
e 20248 25339 29
e 36549 71395 29
e 9934 37180 29
e 24992 45500 29
e 2550 60010 29
e 1485 47713 29
e 55528 59812 29
e 31702 94022 29
e 55490 84916 29
e 34868 69567 29
e 57047 82124 29
e 45291 47547 29
e 27175 33680 29
e 41407 90706 29
e 81485 97147 29
e 12294 36046 29
e 3971 64289 29
e 35380 46043 29
e 17413 46046 29
e 31235 98872 29
e 48833 60338 29
e 24205 36792 29
e 35848 67776 29
e 22098 61038 29
e 24730 99404 29
e 5329 36087 29
e 60853 63493 29
e 49732 94957 29
e 87895 91138 29
e 40379 77311 29
e 26032 61900 29
e 3191 50721 29
e 29562 87024 29
e 1225 70333 29
e 44161 57490 29
e 4248 81564 29
e 61170 99787 29
e 33891 52055 29
e 62802 69034 29
e 16162 84279 29
e 10900 40318 29
e 28730 63123 29
e 64511 70193 29
e 40345 80864 29
e 48032 80942 29
e 50534 83617 29
e 24956 95919 29
e 36724 66493 29
e 45126 72408 30
e 10540 58213 30
e 10562 49964 30
e 70693 70943 30
e 8499 95572 30
e 46004 67139 30
e 25784 40591 30
e 29751 68799 30
e 33903 76220 30
e 37605 70563 30
e 73696 89640 30
